id,gtfs_id,stop_id
624,ORLEANS:StopArea:01069002,610
625,ORLEANS:StopArea:01080902,611
626,ORLEANS:StopArea:01080901,612
627,ORLEANS:StopArea:00021203,613
628,ORLEANS:StopArea:00021200,614
629,ORLEANS:StopArea:00021202,615
630,ORLEANS:StopArea:00021201,616
631,ORLEANS:StopArea:00052401,617
632,ORLEANS:StopArea:00052400,618
633,ORLEANS:StopArea:01009003,619
634,ORLEANS:StopArea:00035304,620
635,ORLEANS:StopArea:01050204,621
636,ORLEANS:StopArea:00024323,622
637,ORLEANS:StopArea:00024322,623
638,ORLEANS:StopArea:01050203,624
639,ORLEANS:StopArea:00021521,625
640,ORLEANS:StopArea:00021520,626
641,ORLEANS:StopArea:00021800,627
642,ORLEANS:StopArea:00021810,628
643,ORLEANS:StopArea:00021811,629
644,ORLEANS:StopArea:01041504,630
645,ORLEANS:StopArea:01041503,631
646,ORLEANS:StopArea:00021860,632
647,ORLEANS:StopArea:00021861,633
648,ORLEANS:StopArea:00024400,634
649,ORLEANS:StopArea:00024401,635
650,ORLEANS:StopArea:00021904,636
651,ORLEANS:StopArea:00021901,637
652,ORLEANS:StopArea:01033704,638
653,ORLEANS:StopArea:00021900,639
654,ORLEANS:StopArea:01029403,640
655,ORLEANS:StopArea:01029404,641
656,ORLEANS:StopArea:00022181,642
657,ORLEANS:StopArea:00022180,643
658,ORLEANS:StopArea:00022223,644
659,ORLEANS:StopArea:00022222,645
660,ORLEANS:StopArea:00022220,646
661,ORLEANS:StopArea:00022221,647
662,ORLEANS:StopArea:01017902,648
663,ORLEANS:StopArea:01017904,649
664,ORLEANS:StopArea:01017901,650
665,ORLEANS:StopArea:01017903,651
666,ORLEANS:StopArea:01016603,652
667,ORLEANS:StopArea:01016604,653
668,ORLEANS:StopArea:TJDARC2,654
669,ORLEANS:StopArea:TJDARC1,655
670,ORLEANS:StopArea:00022400,656
671,ORLEANS:StopArea:00022401,657
672,ORLEANS:StopArea:00021601,658
673,ORLEANS:StopArea:00021602,659
674,ORLEANS:StopArea:01059503,660
675,ORLEANS:StopArea:01059504,661
676,ORLEANS:StopArea:00022512,662
677,ORLEANS:StopArea:00022513,663
678,ORLEANS:StopArea:TVERNE2,664
679,ORLEANS:StopArea:TVERNE1,664
680,ORLEANS:StopArea:00022520,665
681,ORLEANS:StopArea:00022521,666
682,ORLEANS:StopArea:00044400,667
683,ORLEANS:StopArea:00044401,668
684,ORLEANS:StopArea:00000622,669
685,ORLEANS:StopArea:00000621,670
686,ORLEANS:StopArea:00022700,671
